Time: 310337.772; State:  4; ID:  2; absPos( 1.850, 18.100); absVel(-156.375, -13.875); Ellipse(11.53x 8.91); size(0.812)
Time: 310337.780; State:  4; ID:  2; absPos( 1.150, 18.200); absVel(-145.375, -2.500); Ellipse(11.47x 9.02); size(0.816)
Time: 310337.788; State:  4; ID:  2; absPos( 0.110, 18.340); absVel(-129.500, 17.625); Ellipse(11.72x 8.89); size(0.820)
Time: 310337.796; State:  4; ID:  2; absPos(-1.180, 18.660); absVel(-114.500, 40.250); Ellipse(11.74x 8.76); size(0.820)
Time: 310337.804; State:  4; ID:  2; absPos(-2.020, 19.130); absVel(-104.750, 59.000); Ellipse(11.70x 8.76); size(0.824)
Time: 310337.812; State:  4; ID:  2; absPos(-2.790, 19.770); absVel(-96.000, 79.500); Ellipse(11.76x 8.84); size(0.820)
Time: 310337.820; State:  4; ID:  2; absPos(-3.760, 20.860); absVel(-86.875, 114.750); Ellipse(11.55x 9.03); size(0.812)
Time: 310337.828; State:  4; ID:  2; absPos(-4.380, 21.990); absVel(-77.125, 141.625); Ellipse(11.46x 9.03); size(0.820)
Time: 310337.836; State:  4; ID:  2; absPos(-4.920, 23.270); absVel(-67.875, 160.625); Ellipse(11.51x 9.07); size(0.828)
Time: 310337.844; State:  4; ID:  2; absPos(-5.230, 24.230); absVel(-64.375, 163.500); Ellipse(11.65x 9.18); size(0.844)
Time: 310337.852; State:  4; ID:  2; absPos(-5.710, 25.520); absVel(-60.750, 161.000); Ellipse(11.63x 9.30); size(0.871)
Time: 310337.860; State:  4; ID:  2; absPos(-5.990, 26.260); absVel(-56.750, 144.125); Ellipse(11.63x 9.44); size(0.895)
Time: 310337.868; State:  4; ID:  2; absPos(-6.230, 26.840); absVel(-52.500, 123.250); Ellipse(11.50x 9.64); size(0.914)
Time: 310337.876; State:  4; ID:  2; absPos(-6.590, 27.670); absVel(-44.125, 103.625); Ellipse(11.37x 9.67); size(0.906)
Time: 310337.884; State:  4; ID:  2; absPos(-6.850, 28.320); absVel(-33.500, 80.625); Ellipse(11.48x 9.63); size(0.930)
Time: 310337.892; State:  4; ID:  2; absPos(-7.060, 28.790); absVel(-25.000, 59.375); Ellipse(11.65x 9.67); size(0.930)
Time: 310337.900; State:  4; ID:  2; absPos(-7.190, 29.120); absVel(-16.250, 40.625); Ellipse(11.66x 9.68); size(0.930)
Time: 310337.908; State:  4; ID:  2; absPos(-7.270, 29.320); absVel(-10.750, 25.750); Ellipse(11.72x 9.69); size(0.926)
